选项,指标,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20201231,20191231,20181231
常用指标,归母净利润,422313004.87,302445647.67,138056259.1,503927731.05,374776500.83,281657971.29,125029413.58,563159339.35,401663862.44,258692303.09,91170866.24,333489214.42,219056898.1,151816790.24,68190795.6,450712844.36,304107400.78,199867945.16,326209486.84,211099222.73,132092661.85
常用指标,营业总收入,4292870399.73,2827485098.89,1380258421.19,5441939939.51,3962645501.38,2583419190.68,1236902103.16,4841065620.27,3509027140.47,2285260403.43,1079187249.83,4306313778.13,3136926891.09,2091192792.42,1035015180.4,4237935652.7,3077856732.88,2006300585.18,3078589504.59,2364440342.88,1528531075.04
常用指标,营业成本,3893790406.04,2512351342.93,1222978457.46,4970229459.82,3589458644.91,2297248610.36,1102212445.86,4323344421.97,3133125515.2,2037365462.78,967243475.63,4021936664.45,2942444814.92,1954729533.81,977121347.78,3846488424.11,2783854948.61,1815528048.28,2824088777.04,2188826047.66,1430377566.2
常用指标,净利润,422313004.87,302445647.67,138056259.1,503927731.05,374776500.83,281657971.29,125029413.58,563159339.35,401663862.44,258692303.09,91170866.24,333489214.42,219056898.1,151816790.24,68190795.6,450712844.36,304107400.78,199867945.16,326209486.84,211099222.73,132092661.85
常用指标,扣非净利润,390818870.75,297806980.84,137722286.33,483418313.42,367933688.59,276545990.3,121621290.84,553314125.36,388962440.46,251521305.83,90132003.83,295637148.57,212622200.0,147883700.0,67176800.0,396616100.0,298047000.0,196512100.0,271750300.0,174322900.0,115964000.0
常用指标,股东权益合计(净资产),5643165464.84,5523579719.11,5632544174.57,5493265544.5,5365746111.16,5270053757.38,5393589159.47,5264992356.47,5099959232.78,4951421700.32,4954819934.84,4861000653.12,1635593801.04,1570273653.99,1486725500.0,1409154429.44,,1138275651.5,909861674.63,482721802.18,261535942.48
常用指标,商誉,,,,,,,,,,,,,,,,,,,,,
常用指标,经营现金流量净额,510118494.73,329922509.14,-65224315.47,548388193.76,131165343.3,32633370.88,-152533851.54,969521604.82,538853351.15,278297890.5,65551703.59,735558043.45,271157574.51,161528180.95,-9561470.87,289042379.68,132860875.99,206125913.02,-226308521.34,366454633.34,445985551.64
常用指标,基本每股收益,0.54,0.38,0.18,0.64,0.48,0.36,0.16,0.72,0.51,0.33,0.16,0.74,0.49,0.34,,1.0,0.6758,0.4442,0.7263,0.471,0.2947
常用指标,每股净资产,7.165924,7.014069,7.152437,6.975575,6.813645,6.692131,9.588602,9.359986,9.066594,8.802527,8.808568,8.638532,3.634652,3.489497,,3.131454,,2.529501,9.098616,4.846361,2.625731
常用指标,每股现金流,0.647769,0.418949,-0.082824,0.696365,0.166559,0.041439,-0.272995,1.725451,0.959432,0.49582,0.116536,1.307658,0.602572,0.358951,,0.642316,,0.458057,-2.263085,3.679079,4.477542
常用指标,净资产收益率(ROE),7.56,5.4,2.48,9.41,7.03,5.25,2.35,11.16,8.05,5.21,1.86,20.23,14.34,10.17,,38.79,27.99,19.51,47.05,56.69,67.64
常用指标,总资产报酬率(ROA),5.338332,3.982906,1.910085,6.661405,5.079704,3.947998,1.839574,7.479047,5.758698,3.737321,1.59953,6.31545,6.129079,4.277036,,16.00951,,7.680971,14.691404,11.527566,7.600126
常用指标,毛利率,43.629572,43.589956,42.547261,42.084866,42.880082,43.344557,42.723888,42.852116,43.427966,42.962644,41.124774,36.416822,36.054319,35.443891,,35.264044,35.712617,35.063641,34.944051,33.545592,34.718847
常用指标,销售净利率,9.837543,10.696631,10.002203,9.260075,9.457734,10.902526,10.126371,11.63162,11.443722,11.316472,8.448104,7.734517,6.98302,7.267192,6.588386,10.635197,9.880492,9.962013,10.596069,8.928084,8.641804
常用指标,期间费用率,33.53764,31.712093,30.453486,32.902618,32.953073,31.809029,31.412306,31.549758,32.045555,31.359189,29.845246,29.341148,29.362262,28.515494,,25.662686,25.776191,25.183443,26.376946,25.593121,27.662052
常用指标,资产负债率,33.84679,34.370402,31.041115,34.24167,34.215759,33.985185,32.055966,35.734586,33.426223,33.131739,30.582821,32.339618,56.145336,55.986384,58.218271,62.235611,,63.197503,62.036664,79.3039,81.450426
