选项,指标,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20161231
常用指标,归母净利润,697770426.96,496569648.51,188164299.77,821921406.7,593793754.87,362148565.34,127546238.12,498036099.27,313747630.4,184711605.16,30437312.4,726660355.61,680215306.44,584798130.48,270401213.31,811606706.2,501843525.46,249736475.24,89464715.3,114834440.99,-13294749.1,-62565320.51,-39294733.04,158041814.36,132222144.11,106286539.56,46273375.04,282530860.94,182231074.07,127461588.5,64907200.0,78091337.21,73016491.54
常用指标,营业总收入,5071144502.71,3330405333.78,1529708116.46,5926315347.03,4640087780.11,3016208698.37,1378372649.52,5370943247.13,3857699056.15,2350379851.84,1035149855.8,5544914423.74,4399983004.64,3107210025.24,1481035343.8,4777074912.68,3233263308.94,2001753276.4,929126199.19,2738253323.92,1764781824.74,945052200.22,403073895.75,2357733386.83,1706301327.11,1128830971.77,561610165.22,2369069435.42,1634421108.1,1018297077.69,,1690487574.44,1149533183.35
常用指标,营业成本,4428413196.93,2909897574.81,1378681272.01,5181179068.69,4072151364.79,2658072416.32,1259913219.9,4822650021.33,3498548554.26,2140852326.97,985013292.6,4778425345.44,3666546417.77,2501859852.3,1205778566.24,3993543800.13,2768774089.74,1754831837.02,835874457.02,2611449181.03,1761168164.39,1002911339.51,433321575.51,2165489412.59,1562391168.38,1017416826.18,509190395.3,2061239834.37,1433913203.44,886702928.4,,1594853366.43,1075511855.91
常用指标,净利润,695035625.12,493405018.08,188164483.33,819210975.91,593717026.84,362155413.41,127551536.65,498692676.65,313718252.11,184675204.62,30439394.01,731775678.31,680037148.77,584830718.91,270424038.36,827906684.54,515854516.01,249076059.04,89171346.97,114302284.41,-13725459.23,-62785015.19,-39488872.68,157055312.56,131525864.96,105936943.58,46105882.69,282339549.89,182161814.27,127461588.5,64907200.0,77915262.97,73016491.54
常用指标,扣非净利润,629530956.88,457008469.28,169649239.27,746277838.95,553648136.2,339840393.74,117775850.93,384747931.22,266650984.33,157925452.03,23830502.17,667836083.4,640496367.18,561538710.34,257423010.6,716311771.44,431580837.01,233241349.38,78315897.53,85005979.49,-27041974.01,-79608048.45,-47100382.46,140481323.64,120648701.53,96238600.0,46081500.0,270925168.87,171252610.76,117797800.0,63268500.0,160549339.83,65156521.71
常用指标,股东权益合计(净资产),7201515304.1,7007470233.17,6699376546.84,6426569398.24,6183873201.94,5941857076.87,5674529308.25,5489057373.48,5494848070.43,5306955311.79,5014757183.94,4931593794.97,4849584348.55,4609248707.32,4229042869.66,3907516902.97,3545766288.6,3243760307.59,3044096344.01,2923276063.36,2785527686.73,2723789749.89,2779487440.18,2802461205.18,2775871944.22,1232445828.94,1168850300.0,1126023246.32,,,,829316262.65,233078279.88
常用指标,商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,经营现金流量净额,-287180493.06,-632319025.52,270276522.64,1041859007.79,746078746.16,622387821.56,297491433.44,948320609.51,509103539.88,553426870.22,25442945.66,531361882.28,309454557.47,467055346.21,71866232.05,576663559.87,262973657.4,179541159.36,89416025.78,927020383.78,680737829.37,231845852.51,52393193.0,340612818.94,133939150.7,57757598.38,-40130414.82,185140814.11,-42306323.12,103530753.71,32312000.0,176852873.93,71890974.5
常用指标,基本每股收益,1.66,1.18,0.45,1.97,1.42,0.87,0.3,1.2,0.76,0.45,0.07,1.77,1.65,1.42,0.66,1.97,1.22,0.61,0.22,0.28,-0.03,-0.15,-0.1,0.41,0.32,0.29,0.13,0.76,0.4925,0.34,,0.21,
常用指标,每股净资产,17.031137,16.571352,15.876144,15.270345,14.692911,14.120065,13.481028,13.089587,13.107473,12.66052,11.984627,11.83463,11.651022,11.131435,10.206654,9.424636,8.535519,7.833005,7.37723,7.099927,6.76691,6.616193,6.752107,6.807516,6.742996,3.320021,,3.031448,,,,2.241395,2.919564
常用指标,每股现金流,-0.681974,-1.501584,0.643614,2.488111,1.78277,1.487804,0.711146,2.27746,1.222866,1.329787,0.061269,1.285035,0.748502,1.136056,0.174805,1.402664,0.639651,0.436712,0.217493,2.254865,1.655812,0.563937,0.12744,0.828499,0.32579,0.156101,,0.50038,,,,0.47798,0.942595
常用指标,净资产收益率(ROE),10.26,7.42,2.89,13.87,10.23,6.37,2.3,9.41,6.06,3.65,0.62,16.65,15.79,13.84,6.7,23.88,15.61,8.14,3.01,4.02,-0.47,-2.25,-1.41,9.24,9.72,9.05,4.05,28.98,19.89,14.42,,11.0,40.42
常用指标,总资产报酬率(ROA),9.025345,6.317416,2.513492,12.435405,9.502391,5.701149,1.988457,8.260712,4.974974,2.870322,0.488482,13.225626,12.853194,11.418239,5.370381,19.382247,12.773786,6.583569,2.155398,3.405056,-0.260934,-1.672905,-1.551062,6.806208,4.663373,5.825929,,21.147477,,,,12.418386,15.960883
常用指标,毛利率,37.12262,36.800385,36.226927,36.548843,36.369737,35.372802,34.221517,36.41057,35.364363,34.972186,37.395005,37.101465,37.464399,39.468979,40.779117,40.029886,37.888464,36.231646,33.405431,32.890971,30.856684,28.579105,30.93249,33.928395,34.427781,34.728553,,34.811303,35.055424,36.925283,,35.18828,31.510718
